1 - min(mdcv$evaluation_log$val_merror),booster,max_depth,eta,subsample,colsample_bytree,min_child_weight
0.864,xgbtree,5,0.17899206944741308,0.7167522814357653,0.8935017073526978,2
0.864,xgbtree,5,0.1763622164609842,0.794828303833492,0.9533949562348425,1
0.864,xgbtree,7,0.25851881930604576,0.9029840013477951,0.6143990628421306,3
0.864,xgbtree,7,0.1572008366161026,0.7953931918600574,0.9190206387080252,3
0.86,xgbtree,3,0.05375187637750059,0.9998959723394364,0.7053299532271922,0
0.86,xgbtree,3,0.19923982484266162,0.7154606644529848,0.7902471068315208,6
0.86,xgbtree,7,0.16917832915904,0.7104520569555461,0.8704398608766496,2
0.86,xgbtree,9,0.2177356448932551,0.8725753664271906,0.8964270940981804,3
0.86,xgbtree,8,0.24126148079521953,0.8668603065656497,0.9528962971642614,2
0.86,xgbtree,8,0.108016560212709,0.8540975041221828,0.7029336127452552,2
0.86,xgbtree,6,0.23972604766255243,0.7149992101592942,0.6294375294819474,2
0.86,xgbtree,5,0.18603013911517335,0.7783553391229361,0.7429903374053538,1
0.86,xgbtree,10,0.26332199468743056,0.8833211076678709,0.6311271499842405,1
0.86,xgbtree,8,0.19500929774716497,0.8051557450089604,0.6801964033395052,1
0.86,xgbtree,7,0.12232607901096343,0.9557796922745183,0.7388256817124784,6
0.856,xgbtree,10,0.2900533703691326,0.8296472114976495,0.6141958485357463,3
0.856,xgbtree,3,0.1722559538600035,0.9577131434343755,0.7149381552822888,7
0.856,xgbtree,8,0.16991789393825457,0.9933059976203367,0.7173081534914673,2
0.856,xgbtree,10,0.21832370178308338,0.7154618500033393,0.7117361758835614,3
0.856,xgbtree,3,0.04356671692570671,0.8595855376217514,0.6882813105359673,5
0.856,xgbtree,10,0.21342877908842636,0.8282134938053787,0.6536548178642988,1
0.856,xgbtree,10,0.2917362768831663,0.9105674292659387,0.6324895985424518,4
0.856,xgbtree,4,0.034217870365828275,0.7035773730836808,0.7421131750568748,3
0.856,xgbtree,4,0.27482151598902416,0.9683468390954658,0.7044588463380933,7
0.856,xgbtree,5,0.29003671823302285,0.7300418277503922,0.7083075722679496,4
0.856,xgbtree,4,0.11047878429293631,0.9453530799131841,0.6803145985119045,3
0.856,xgbtree,3,0.06112273124279454,0.7908134941011666,0.6379277009516954,5
0.856,xgbtree,9,0.10754605131223796,0.8802019991446286,0.7355936838313937,4
0.856,xgbtree,5,0.10899583149934186,0.7233442950528115,0.758983008004725,3
0.856,xgbtree,4,0.18567780972691253,0.9139505397994071,0.6319585369899868,4
0.856,xgbtree,8,0.12612077762139962,0.7510018654400482,0.899862542655319,1
0.856,xgbtree,10,0.20446792043978348,0.7538849536096677,0.7433099484071135,6
0.856,xgbtree,9,0.2880658891540952,0.8876719696214422,0.6373041870072483,2
0.856,xgbtree,9,0.06507568004075437,0.9434561301255598,0.6456945409998297,7
0.856,xgbtree,6,0.126909955937881,0.7222793186549097,0.70040881652385,2
0.856,xgbtree,3,0.08380582997808232,0.9968014959944412,0.6069494064897298,1
0.856,xgbtree,10,0.17361963890725746,0.9486818101955578,0.6211669180542231,2
0.856,xgbtree,3,0.24135928696021436,0.7151504050241783,0.6895971298217773,2
0.856,xgbtree,9,0.22784345207968726,0.8528183174319566,0.9898240942507982,3
0.856,xgbtree,7,0.2992001986224204,0.7866373156197368,0.9925762003287673,1
0.856,xgbtree,3,0.2232018938823603,0.7426406243583187,0.9526013674214482,6
0.856,xgbtree,8,0.22743381076026709,0.881693986710161,0.9797947986051441,1
0.856,xgbtree,9,0.18410064186668024,0.85034461657051,0.716326797939837,6
0.856,xgbtree,5,0.2668894008430652,0.8428422959288582,0.951872568577528,0
0.856,xgbtree,3,0.2336528764478862,0.9461671079974622,0.7166553714312613,0
0.856,xgbtree,4,0.058871139243710784,0.9302307504927739,0.6539717160165309,2
0.856,xgbtree,7,0.22276287159183994,0.8492269283393398,0.6139199494384229,2
0.856,xgbtree,10,0.22415459968382492,0.9769238995853812,0.6949020466767252,2
0.856,xgbtree,9,0.1326163809071295,0.8859293395420537,0.6639427830465138,2
0.856,xgbtree,3,0.19785453864838928,0.9672504052752628,0.7421308316290378,1
0.856,xgbtree,8,0.09756538919638841,0.7542284085880965,0.6359386747702956,2
0.856,xgbtree,4,0.104612210043706,0.734901819145307,0.7265628032386303,4
0.856,xgbtree,4,0.16990562755381688,0.8733340005390346,0.6121683995239436,2
0.856,xgbtree,3,0.16494549575261772,0.9885604292619974,0.706880001630634,0
0.856,xgbtree,4,0.06651256785728037,0.8956709454767406,0.6723324635066091,6
0.856,xgbtree,3,0.18362990407040342,0.9144725814228878,0.6100964872166514,4
0.856,xgbtree,6,0.2967297643399797,0.7290231786202639,0.8669585353694855,1
0.856,xgbtree,9,0.03714039877988398,0.7007273229537532,0.8657184083014726,1
0.856,xgbtree,5,0.2702189820958301,0.7500206322874874,0.9491317383944988,0
